surveyid,fieldactivityid,source,sampletype,station,sampledate,layer,samplenumber,gmethod,tsn,latinname,size,method,parameter,reportingvalue,reportingunit,nodccode,speccode,serialnumber
443166,0,odu/pel,c,we4.2,2013-07-18t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,119035700,l,auto_pico,1148,20131231we4.2
443166,0,odu/pel,c,we4.2,2013-07-18t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,81024300,l,auto_pico,1148,20131231we4.2
443172,0,odu/pel,c,sbe5,2013-08-08t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,85025500,l,auto_pico,1148,20131231sbe5
443178,0,odu/pel,c,cb6.1,2013-08-12t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,298089400,l,auto_pico,1148,20131231cb6.1
443178,0,odu/pel,c,cb6.1,2013-08-12t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,143042900,l,auto_pico,1148,20131231cb6.1
443176,0,odu/pel,c,cb7.3e,2013-08-12t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,175052500,l,auto_pico,1148,20131231cb7.3e
443176,0,odu/pel,c,cb7.3e,2013-08-12t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,109032700,l,auto_pico,1148,20131231cb7.3e
443174,0,odu/pel,c,cb7.4,2013-08-12t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,99029700,l,auto_pico,1148,20131231cb7.4
443174,0,odu/pel,c,cb7.4,2013-08-12t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,55016500,l,auto_pico,1148,20131231cb7.4
443180,0,odu/pel,c,le3.6,2013-08-12t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,142042600,l,auto_pico,1148,20131231le3.6
443180,0,odu/pel,c,le3.6,2013-08-12t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,144043200,l,auto_pico,1148,20131231le3.6
443182,0,odu/pel,c,cb6.4,2013-08-13t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,88026400,l,auto_pico,1148,20131231cb6.4
443182,0,odu/pel,c,cb6.4,2013-08-13t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,78023400,l,auto_pico,1148,20131231cb6.4
443190,0,odu/pel,c,le5.5-w,2013-08-13t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,119035700,l,auto_pico,1148,20131231le5.5-w
